# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.000104900983155 	k                 	1.4987174073e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999613823e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
0.000104900983155 	epsilon           	3.6811892623e-03	(1.6323913226e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9870533232e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000127076582718 	k                 	1.4983170790e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999532186e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
0.000127076582718 	epsilon           	3.6811592094e-03	(1.6323913226e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9845751451e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000153689668853 	k                 	1.4977400202e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999434213e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
0.000153689668853 	epsilon           	3.6811231426e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9817896575e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000185621962467 	k                 	1.4968826427e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999316658e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
0.000185621962467 	epsilon           	3.6810798671e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9787632280e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000223940714803 	k                 	1.4955748820e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999175591e-02	(2.4431905801e+01 2.7508644738e+01 2.0000000000e-01)	12
0.000223940714803 	epsilon           	3.6810279363e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9756504863e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000269901988382 	k                 	1.4935418500e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999006388e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.000269901988382 	epsilon           	3.6809656481e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9727450999e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000325035134736 	k                 	1.4903455361e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4998803419e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.000325035134736 	epsilon           	3.6808909297e-03	(1.6323913226e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9705235293e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000391180227766 	k                 	1.4853117956e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4998559908e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.000391180227766 	epsilon           	3.6808012873e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9696477962e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000470554339401 	k                 	1.4774581469e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4998267693e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.000470554339401 	epsilon           	3.6806937160e-03	(1.6323913226e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9708026074e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000565803273364 	k                 	1.4654805474e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4997917032e-02	(3.3550133670e+01 2.3323255907e+01 2.0000000000e-01)	18
0.000565803273364 	epsilon           	3.6805646301e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9741288384e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000679970009453 	k                 	1.4479295031e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4999577863e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.000679970009453 	epsilon           	3.6804099051e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9779146379e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.00081697009276  	k                 	1.4236304176e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.5002563094e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.00081697009276  	epsilon           	3.6802242343e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9764608494e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.00098146183158  	k                 	1.3925808722e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4996386740e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00098146183158  	epsilon           	3.6800013038e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9580894018e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.00117911722742  	k                 	1.3569015893e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4995659028e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00117911722742  	epsilon           	3.6797334259e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.9067186318e-02	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5
0.00141611180399  	k                 	1.3210245611e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4994786464e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00141611180399  	epsilon           	3.6794122300e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.8653415124e-02	(2.3370174083e+00 5.0153958717e-01 1.5035824432e+00)	5
0.00166654421737  	k                 	1.2927737300e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4993864404e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00166654421737  	epsilon           	3.6790728205e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.8308494884e-02	(2.3359444962e+00 3.0101288136e-01 1.3030413849e+00)	5
