# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	max(T)
1.19999040008e-06 	2.9315000008e+02
2.63996505619e-06 	2.9315000017e+02
4.36794459704e-06 	2.9315000028e+02
6.44150571252e-06 	2.9315000041e+02
8.92973776977e-06 	2.9315000056e+02
1.19155270705e-05 	2.9315000072e+02
1.54983886296e-05 	2.9315000088e+02
1.97977608653e-05 	2.9315000103e+02
2.49567412781e-05 	2.9315000110e+02
3.11471343486e-05 	2.9315000100e+02
3.8575237941e-05  	2.9315000057e+02
4.74889622518e-05 	2.9315000001e+02
5.81854314247e-05 	2.9315000000e+02
7.10206446266e-05 	2.9315000000e+02
8.64213168522e-05 	2.9315000000e+02
0.000104900983155 	2.9315000000e+02
0.000127076582718 	2.9315000000e+02
0.000153689668853 	2.9315000000e+02
0.000185621962467 	2.9315000000e+02
0.000223940714803 	2.9315000000e+02
0.000269901988382 	2.9315000000e+02
0.000325035134736 	2.9315000000e+02
0.000391180227766 	2.9315000000e+02
0.000470554339401 	2.9315000001e+02
0.000565803273364 	2.9315003447e+02
0.000679970009453 	2.9315016468e+02
0.00081697009276  	2.9315019242e+02
0.00098146183158  	2.9315013369e+02
0.00117911722742  	2.9315008240e+02
0.00141611180399  	2.9315029982e+02
0.00166654421737  	2.9315101222e+02
0.00191697663075  	2.9315263361e+02
0.00216740904413  	2.9315575000e+02
0.00241784145751  	2.9316101571e+02
0.00266827387089  	2.9316899445e+02
0.00291870628428  	2.9318024908e+02
0.00316913869766  	2.9319447103e+02
0.00341957111104  	2.9321072503e+02
0.00367000352442  	2.9322735773e+02
0.0039204359378   	2.9324306333e+02
0.00417086835118  	2.9325507136e+02
0.00442130076456  	2.9326367337e+02
0.00467173317795  	2.9326977654e+02
0.00492216559133  	2.9327346382e+02
0.00517259800471  	2.9327410593e+02
0.00542303041809  	2.9327369781e+02
0.00567346283147  	2.9327118759e+02
0.00592389524485  	2.9326795310e+02
0.00617432765824  	2.9326435528e+02
0.00642476007162  	2.9326010111e+02
0.006675192485    	2.9325546116e+02
0.00692562489838  	2.9325172532e+02
0.00717605731176  	2.9325003561e+02
0.00742648972514  	2.9326222595e+02
0.00767692213852  	2.9327443535e+02
0.00792735455191  	2.9327981244e+02
0.00817778696529  	2.9328069665e+02
0.00842821937867  	2.9332055379e+02
0.00867865179205  	2.9330650959e+02
0.00892908420543  	2.9332124322e+02
0.00917951661881  	2.9329248462e+02
0.0094299490322   	2.9329597650e+02
0.00968038144558  	2.9331972730e+02
0.00993081385896  	2.9333999119e+02
0.0101812462723   	2.9334992809e+02
0.0104316786857   	2.9334558832e+02
0.0106821110991   	2.9332732715e+02
0.0109325435125   	2.9330208831e+02
0.0111829759259   	2.9329225553e+02
0.0114334083392   	2.9330449072e+02
0.0116838407526   	2.9331183408e+02
0.011934273166    	2.9331313842e+02
0.0121847055794   	2.9330941509e+02
0.0124351379928   	2.9330984824e+02
0.0126855704062   	2.9332226882e+02
0.0129360028195   	2.9333438277e+02
0.0131864352329   	2.9334635987e+02
0.0134368676463   	2.9335560471e+02
0.0136873000597   	2.9335804625e+02
0.0139377324731   	2.9335332552e+02
0.0141881648864   	2.9334539072e+02
0.0144385972998   	2.9333931338e+02
0.0146890297132   	2.9333714836e+02
0.0149394621266   	2.9333832171e+02
0.01518989454     	2.9334131110e+02
0.0154403269534   	2.9334571176e+02
0.0156907593667   	2.9335193171e+02
0.0159411917801   	2.9336010022e+02
0.0161916241935   	2.9336981856e+02
0.0164420566069   	2.9338046509e+02
0.0166924890203   	2.9339087873e+02
0.0169429214336   	2.9340055236e+02
0.017193353847    	2.9341631363e+02
0.0174437862604   	2.9341328711e+02
0.0176942186738   	2.9341385853e+02
0.0179446510872   	2.9342427063e+02
0.0181950835005   	2.9343458728e+02
0.0184455159139   	2.9344287777e+02
0.0186959483273   	2.9344766662e+02
0.0189463807407   	2.9344720428e+02
0.0191968131541   	2.9344900078e+02
0.0194472455675   	2.9345442776e+02
0.0196976779808   	2.9346010957e+02
0.0199481103942   	2.9346577138e+02
0.0201985428076   	2.9347300547e+02
0.020448975221    	2.9348156499e+02
0.0206994076344   	2.9349083782e+02
0.0209498400477   	2.9350078403e+02
0.0212002724611   	2.9350968208e+02
0.0214507048745   	2.9351190385e+02
0.0217011372879   	2.9351486138e+02
0.0219515697013   	2.9352153543e+02
0.0222020021147   	2.9353108398e+02
0.022452434528    	2.9353827814e+02
0.0227028669414   	2.9354368628e+02
0.0229532993548   	2.9354807390e+02
0.0232037317682   	2.9355216152e+02
0.0234541641816   	2.9355681574e+02
0.0237045965949   	2.9356295252e+02
0.0239550290083   	2.9357128934e+02
0.0242054614217   	2.9358228468e+02
0.0244558938351   	2.9359610612e+02
0.0247063262485   	2.9361249902e+02
0.0249567586618   	2.9363066710e+02
0.0252071910752   	2.9364989413e+02
0.0254576234886   	2.9366900505e+02
0.025708055902    	2.9368689581e+02
0.0259584883154   	2.9370318834e+02
0.0262089207288   	2.9371684452e+02
0.0264593531421   	2.9372716577e+02
0.0267097855555   	2.9373452747e+02
0.0269602179689   	2.9373976232e+02
0.0272106503823   	2.9374435227e+02
0.0274610827957   	2.9374994776e+02
0.027711515209    	2.9375688855e+02
0.0279619476224   	2.9376526814e+02
0.0282123800358   	2.9377490521e+02
0.0284628124492   	2.9378426111e+02
0.0287132448626   	2.9379333172e+02
0.028963677276    	2.9380492366e+02
0.0292141096893   	2.9382041054e+02
0.0294645421027   	2.9383764354e+02
0.0297149745161   	2.9385340011e+02
0.0299654069295   	2.9386693414e+02
0.0302158393429   	2.9388041698e+02
0.0304662717562   	2.9389542477e+02
0.0307167041696   	2.9391083308e+02
0.030967136583    	2.9392475507e+02
0.0312175689964   	2.9393648566e+02
0.0314680014098   	2.9394604643e+02
0.0317184338231   	2.9395364842e+02
0.0319688662365   	2.9396003581e+02
0.0322192986499   	2.9396628237e+02
0.0324697310633   	2.9397315051e+02
0.0327201634767   	2.9398113348e+02
0.0329705958901   	2.9399083470e+02
0.0332210283034   	2.9400258947e+02
0.0334714607168   	2.9401580837e+02
0.0337218931302   	2.9402920230e+02
0.0339723255436   	2.9404174702e+02
0.034222757957    	2.9405509553e+02
0.0344731903703   	2.9407001726e+02
0.0347236227837   	2.9408111306e+02
0.0349740551971   	2.9408620046e+02
0.0352244876105   	2.9409079016e+02
0.0354749200239   	2.9410070287e+02
0.0357253524373   	2.9411735720e+02
0.0359757848506   	2.9413547208e+02
0.036226217264    	2.9414620514e+02
0.0364766496774   	2.9414870233e+02
0.0367270820908   	2.9414910140e+02
0.0369775145042   	2.9415342200e+02
0.0372279469175   	2.9416252211e+02
0.0374783793309   	2.9417343229e+02
0.0377288117443   	2.9418239249e+02
0.0379792441577   	2.9418749934e+02
0.0382296765711   	2.9419053469e+02
0.0384801089845   	2.9419487268e+02
0.0387305413978   	2.9420141422e+02
0.0389809738112   	2.9420891155e+02
0.0392314062246   	2.9421660153e+02
