Simulation_Iteration,Time,deltaT,PIMPLE_Iterations
1,1.19999040008e-06,1.1999904e-06,
2,15.23,1.439974656e-06,33
3,27.67,1.727979541e-06,29
4,38.4,2.073561115e-06,27
5,48.63,2.488232057e-06,26
6,58.84,2.985789301e-06,26
7,68.63,3.582861559e-06,25
8,78.37,4.299372236e-06,25
9,87.67,5.158980413e-06,24
10,96.95,6.190393071e-06,24
11,106.24,7.428103592e-06,24
12,115.43,8.913724311e-06,24
13,124.63,1.069646917e-05,24
14,133.75,1.28352132e-05,24
15,142.88,1.540067223e-05,24
16,151.99,1.84796663e-05,24
17,161.11,2.217559956e-05,24
18,170.23,2.661308614e-05,24
19,179.32,3.193229361e-05,24
20,188.39,3.831875234e-05,24
21,197.46,4.596127358e-05,24
22,206.53,5.513314635e-05,24
23,215.63,6.614509303e-05,24
24,224.7,7.937411164e-05,24
25,233.73,9.524893396e-05,24
26,242.74,0.0001141667361,24
27,251.78,0.0001370000833,24
28,260.8,0.0001644917388,24
29,269.85,0.0001976553958,24
30,278.86,0.0002369945766,24
31,287.85,0.0002504324134,24
32,296.49,0.0002504324134,23
33,305.12,0.0002504324134,23
34,313.74,0.0002504324134,23
35,322.38,0.0002504324134,23
36,331.04,0.0002504324134,23
37,339.69,0.0002504324134,23
38,347.94,0.0002504324134,22
39,356.19,0.0002504324134,22
40,364.37,0.0002504324134,22
41,372.55,0.0002504324134,22
42,380.74,0.0002504324134,22
43,388.93,0.0002504324134,22
44,396.77,0.0002504324134,21
45,404.6,0.0002504324134,21
46,412.42,0.0002504324134,21
47,420.23,0.0002504324134,21
48,428.04,0.0002504324134,21
49,435.87,0.0002504324134,21
50,443.69,0.0002504324134,21
51,451.51,0.0002504324134,21
52,459.33,0.0002504324134,21
53,467.14,0.0002504324134,21
54,474.95,0.0002504324134,21
55,482.37,0.0002504324134,20
56,489.8,0.0002504324134,20
57,497.27,0.0002504324134,20
58,506.21,0.0002504324134,24
59,513.65,0.0002504324134,20
60,521.11,0.0002504324134,20
61,528.54,0.0002504324134,20
62,535.99,0.0002504324134,20
63,543.46,0.0002504324134,20
64,550.89,0.0002504324134,20
65,558.32,0.0002504324134,20
66,565.77,0.0002504324134,20
67,573.21,0.0002504324134,20
68,580.65,0.0002504324134,20
69,588.11,0.0002504324134,20
70,595.55,0.0002504324134,20
71,602.98,0.0002504324134,20
72,610.44,0.0002504324134,20
73,617.91,0.0002504324134,20
74,624.95,0.0002504324134,19
75,632.07,0.0002504324134,19
76,639.14,0.0002504324134,19
77,646.19,0.0002504324134,19
78,653.24,0.0002504324134,19
79,660.27,0.0002504324134,19
80,667.35,0.0002504324134,19
81,674.42,0.0002504324134,19
