# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	min(k)
1.19999040008e-06 	1.4999927266e-02
2.63996505619e-06 	1.4999839987e-02
4.36794459704e-06 	1.4999735253e-02
6.44150571252e-06 	1.4999609574e-02
8.92973776977e-06 	1.4999458764e-02
1.19155270705e-05 	1.4999277801e-02
1.54983886296e-05 	1.4999060655e-02
1.97977608653e-05 	1.4998800091e-02
2.49567412781e-05 	1.4998487439e-02
3.11471343486e-05 	1.4998112294e-02
3.8575237941e-05  	1.4997662163e-02
4.74889622518e-05 	1.4997122034e-02
5.81854314247e-05 	1.4996473921e-02
7.10206446266e-05 	1.4995696280e-02
8.64213168522e-05 	1.4994763292e-02
0.000104900983155 	1.4993643900e-02
0.000127076582718 	1.4992300810e-02
0.000153689668853 	1.4990689216e-02
0.000185621962467 	1.4988755882e-02
0.000223940714803 	1.4986436415e-02
0.000269901988382 	1.4983655111e-02
0.000325035134736 	1.4980319885e-02
0.000391180227766 	1.4976320095e-02
0.000470554339401 	1.4971522638e-02
0.000565803273364 	1.4965768988e-02
0.000679970009453 	1.4958877315e-02
0.00081697009276  	1.4950614115e-02
0.00098146183158  	1.4940702549e-02
0.00117911722742  	1.4928806806e-02
0.00141611180399  	1.4914563752e-02
0.00166654421737  	1.4899537095e-02
0.00191697663075  	1.4884535042e-02
0.00216740904413  	1.4869557538e-02
0.00241784145751  	1.4854604529e-02
0.00266827387089  	1.4839675961e-02
0.00291870628428  	1.4824771779e-02
0.00316913869766  	1.4809891929e-02
0.00341957111104  	1.4795036358e-02
0.00367000352442  	1.4780205011e-02
0.0039204359378   	1.4765397835e-02
0.00417086835118  	1.4750614776e-02
0.00442130076456  	1.4735855780e-02
0.00467173317795  	1.4721120795e-02
0.00492216559133  	1.4706409767e-02
0.00517259800471  	1.4691722643e-02
0.00542303041809  	1.4677059371e-02
0.00567346283147  	1.4662419897e-02
0.00592389524485  	1.4647804170e-02
0.00617432765824  	1.4633212136e-02
0.00642476007162  	1.4618643743e-02
0.006675192485    	1.4604098941e-02
0.00692562489838  	1.4589577675e-02
0.00717605731176  	1.4575079895e-02
0.00742648972514  	1.4560605549e-02
0.00767692213852  	1.4546154584e-02
0.00792735455191  	1.4531726951e-02
0.00817778696529  	1.4517322597e-02
0.00842821937867  	1.4502941472e-02
0.00867865179205  	1.4488583523e-02
0.00892908420543  	1.4474248701e-02
0.00917951661881  	1.4459936954e-02
0.0094299490322   	1.4445648233e-02
0.00968038144558  	1.4431382486e-02
0.00993081385896  	1.4417139665e-02
0.0101812462723   	1.4402919720e-02
0.0104316786857   	1.4388722604e-02
0.0106821110991   	1.4374548268e-02
0.0109325435125   	1.4360396669e-02
0.0111829759259   	1.4346267760e-02
0.0114334083392   	1.4332161499e-02
0.0116838407526   	1.4318077845e-02
0.011934273166    	1.4304016756e-02
0.0121847055794   	1.4289978190e-02
0.0124351379928   	1.4275962105e-02
0.0126855704062   	1.4261968456e-02
0.0129360028195   	1.4247997192e-02
0.0131864352329   	1.4234048335e-02
0.0134368676463   	1.4220122133e-02
0.0136873000597   	1.4206218819e-02
0.0139377324731   	1.4192338662e-02
0.0141881648864   	1.4178482034e-02
0.0144385972998   	1.4164649476e-02
0.0146890297132   	1.4150841729e-02
0.0149394621266   	1.4137059755e-02
0.01518989454     	1.4123304758e-02
0.0154403269534   	1.4109578213e-02
0.0156907593667   	1.4095881862e-02
0.0159411917801   	1.4082217696e-02
0.0161916241935   	1.4068587899e-02
0.0164420566069   	1.4054994770e-02
0.0166924890203   	1.4041440592e-02
0.0169429214336   	1.4027927463e-02
0.017193353847    	1.4014457106e-02
0.0174437862604   	1.4001030640e-02
0.0176942186738   	1.3987648343e-02
0.0179446510872   	1.3974309430e-02
0.0181950835005   	1.3961011899e-02
0.0184455159139   	1.3947752518e-02
0.0186959483273   	1.3934526903e-02
0.0189463807407   	1.3921329733e-02
0.0191968131541   	1.3908155140e-02
0.0194472455675   	1.3894997243e-02
0.0196976779808   	1.3881850740e-02
0.0199481103942   	1.3868711520e-02
0.0201985428076   	1.3855577175e-02
0.020448975221    	1.3842447323e-02
0.0206994076344   	1.3829323659e-02
0.0209498400477   	1.3816209773e-02
0.0212002724611   	1.3803110580e-02
0.0214507048745   	1.3790031440e-02
0.0217011372879   	1.3776977434e-02
0.0219515697013   	1.3763952760e-02
0.0222020021147   	1.3750960087e-02
0.022452434528    	1.3738000123e-02
0.0227028669414   	1.3725071815e-02
0.0229532993548   	1.3712173066e-02
0.0232037317682   	1.3699301703e-02
0.0234541641816   	1.3686456495e-02
0.0237045965949   	1.3673638126e-02
0.0239550290083   	1.3660849491e-02
0.0242054614217   	1.3648095584e-02
0.0244558938351   	1.3635383497e-02
0.0247063262485   	1.3622721983e-02
0.0249567586618   	1.3610120078e-02
0.0252071910752   	1.3597585273e-02
0.0254576234886   	1.3585121999e-02
0.025708055902    	1.3572730591e-02
0.0259584883154   	1.3560406632e-02
0.0262089207288   	1.3548140822e-02
0.0264593531421   	1.3535919553e-02
0.0267097855555   	1.3523726161e-02
0.0269602179689   	1.3511542759e-02
0.0272106503823   	1.3499352428e-02
0.0274610827957   	1.3487141433e-02
0.027711515209    	1.3474900994e-02
0.0279619476224   	1.3462628345e-02
0.0282123800358   	1.3450327176e-02
0.0284628124492   	1.3438007358e-02
0.0287132448626   	1.3425683724e-02
0.028963677276    	1.3413373975e-02
0.0292141096893   	1.3401096295e-02
0.0294645421027   	1.3388867226e-02
0.0297149745161   	1.3376699968e-02
0.0299654069295   	1.3364603523e-02
0.0302158393429   	1.3352582546e-02
0.0304662717562   	1.3340637289e-02
0.0307167041696   	1.3328763311e-02
0.030967136583    	1.3316951545e-02
0.0312175689964   	1.3305189128e-02
0.0314680014098   	1.3293460565e-02
0.0317184338231   	1.3281748905e-02
0.0319688662365   	1.3270036988e-02
0.0322192986499   	1.3258309136e-02
0.0324697310633   	1.3246553458e-02
0.0327201634767   	1.3234764230e-02
0.0329705958901   	1.3222943600e-02
0.0332210283034   	1.3211102173e-02
0.0334714607168   	1.3199258305e-02
0.0337218931302   	1.3187436192e-02
0.0339723255436   	1.3175570953e-02
0.034222757957    	1.3163741081e-02
0.0344731903703   	1.3151982821e-02
0.0347236227837   	1.3140302086e-02
0.0349740551971   	1.3128696875e-02
0.0352244876105   	1.3117157824e-02
0.0354749200239   	1.3105669874e-02
0.0357253524373   	1.3094214696e-02
0.0359757848506   	1.3082773972e-02
0.036226217264    	1.3071332937e-02
0.0364766496774   	1.3059882983e-02
0.0367270820908   	1.3048422761e-02
0.0369775145042   	1.3036957838e-02
0.0372279469175   	1.3025499008e-02
0.0374783793309   	1.3014059417e-02
0.0377288117443   	1.3002651118e-02
0.0379792441577   	1.2991281982e-02
0.0382296765711   	1.2979953878e-02
0.0384801089845   	1.2968662623e-02
0.0387305413978   	1.2957399174e-02
0.0389809738112   	1.2946151588e-02
0.0392314062246   	1.2934907697e-02
0.039481838638    	1.2923657986e-02
0.0397322710514   	1.2912397837e-02
0.0399827034647   	1.2901128589e-02
0.0402331358781   	1.2889857340e-02
0.0404835682915   	1.2878595671e-02
0.0407340007049   	1.2867357634e-02
0.0409844331183   	1.2856157442e-02
0.0412348655316   	1.2845007293e-02
0.041485297945    	1.2833915756e-02
0.0417357303584   	1.2822886937e-02
0.0419861627718   	1.2811920470e-02
0.0422365951852   	1.2801012118e-02
0.0424870275986   	1.2790154755e-02
0.0427374600119   	1.2779339496e-02
0.0429878924253   	1.2768556833e-02
0.0432383248387   	1.2757797640e-02
0.0434887572521   	1.2747053919e-02
0.0437391896655   	1.2736319215e-02
0.0439896220788   	1.2725588734e-02
0.0442400544922   	1.2714859253e-02
0.0444904869056   	1.2704128956e-02
0.044740919319    	1.2693397310e-02
0.0449913517324   	1.2682665071e-02
0.0452417841458   	1.2671934429e-02
0.0454922165591   	1.2661209180e-02
0.0457426489725   	1.2650494791e-02
0.0459930813859   	1.2639798279e-02
0.0462435137993   	1.2629127827e-02
0.0464939462127   	1.2618492058e-02
0.046744378626    	1.2607898953e-02
0.0469948110394   	1.2597354575e-02
0.0472452434528   	1.2586861847e-02
0.0474956758662   	1.2576419732e-02
0.0477461082796   	1.2566023063e-02
0.0479965406929   	1.2555663284e-02
0.0482469731063   	1.2545329754e-02
0.0484974055197   	1.2535011263e-02
0.0487478379331   	1.2524697667e-02
0.0489982703465   	1.2514381438e-02
0.0492487027599   	1.2504058753e-02
0.0494991351732   	1.2493730058e-02
0.0497495675866   	1.2483399739e-02
0.05              	1.2473074776e-02
0.05025           	1.2462781403e-02
0.0505            	1.2452510778e-02
0.05075           	1.2442271183e-02
0.051             	1.2432068914e-02
0.05125           	1.2421907637e-02
0.0515            	1.2411788362e-02
0.05175           	1.2401709754e-02
0.052             	1.2391668708e-02
0.05225           	1.2381661144e-02
0.0525            	1.2371682899e-02
0.05275           	1.2361730473e-02
0.053             	1.2351801508e-02
0.05325           	1.2341894918e-02
0.0535            	1.2332010666e-02
0.05375           	1.2322149303e-02
0.054             	1.2312311466e-02
0.05425           	1.2302497511e-02
0.0545            	1.2292707345e-02
0.05475           	1.2282940393e-02
0.055             	1.2273195660e-02
0.05525           	1.2263471833e-02
0.0555            	1.2253767523e-02
0.05575           	1.2244081623e-02
0.056             	1.2234413595e-02
0.05625           	1.2224763550e-02
0.0565            	1.2215132089e-02
0.05675           	1.2205520032e-02
0.057             	1.2195928184e-02
0.05725           	1.2186357184e-02
0.0575            	1.2176807378e-02
0.05775           	1.2167278758e-02
0.058             	1.2157770938e-02
0.05825           	1.2148283199e-02
0.0585            	1.2138814676e-02
0.05875           	1.2129364607e-02
0.059             	1.2119932641e-02
0.05925           	1.2110519132e-02
0.0595            	1.2101125341e-02
0.05975           	1.2091753437e-02
0.06              	1.2082406264e-02
0.06025           	1.2073086890e-02
0.0605            	1.2063797944e-02
0.06075           	1.2054540852e-02
0.061             	1.2045315192e-02
0.06125           	1.2036118558e-02
0.0615            	1.2026947076e-02
0.06175           	1.2017796352e-02
0.062             	1.2008662606e-02
0.06225           	1.1999543735e-02
0.0625            	1.1990439952e-02
0.06275           	1.1981353722e-02
0.063             	1.1972288980e-02
0.06325           	1.1963249790e-02
0.0635            	1.1954238862e-02
0.06375           	1.1945256364e-02
0.064             	1.1936299491e-02
0.06425           	1.1927363007e-02
0.0645            	1.1918440698e-02
0.06475           	1.1909527330e-02
0.065             	1.1900620443e-02
0.06525           	1.1891721425e-02
0.0655            	1.1882835424e-02
0.06575           	1.1873970126e-02
0.066             	1.1865133675e-02
0.06625           	1.1856332366e-02
0.0665            	1.1847568907e-02
0.06675           	1.1838841642e-02
0.067             	1.1830145408e-02
0.06725           	1.1821473235e-02
0.0675            	1.1812818528e-02
0.06775           	1.1804177411e-02
0.068             	1.1795550210e-02
0.06825           	1.1786941488e-02
0.0685            	1.1778358730e-02
0.06875           	1.1769810041e-02
0.069             	1.1761301559e-02
0.06925           	1.1752835511e-02
0.0695            	1.1744409492e-02
0.06975           	1.1736017003e-02
0.07              	1.1727649052e-02
0.07025           	1.1719296457e-02
0.0705            	1.1710952209e-02
0.07075           	1.1702613131e-02
0.0709978813559   	1.1694350766e-02
0.0712436620224   	1.1686168561e-02
0.0714873598019   	1.1678071598e-02
0.0717310575813   	1.1669996646e-02
0.0719726724738   	1.1662017219e-02
0.0722122222817   	1.1654134587e-02
0.0724517720896   	1.1646280646e-02
0.072689256813    	1.1638520901e-02
0.0729246942543   	1.1630851068e-02
0.0731601316955   	1.1623201112e-02
0.0733935218547   	1.1615635118e-02
0.0736269120139   	1.1608085626e-02
0.0738603021731   	1.1600553011e-02
0.0740916269326   	1.1593104722e-02
0.0743209045704   	1.1585740775e-02
0.0745501822081   	1.1578396023e-02
0.0747774127241   	1.1571136095e-02
0.0750026143962   	1.1563959679e-02
0.0752258053391   	1.1556865283e-02
0.075448996282    	1.1549788589e-02
0.0756701764957   	1.1542793354e-02
0.0758913567094   	1.1535816526e-02
0.0761105261938   	1.1528922440e-02
0.0763296956783   	1.1522048960e-02
0.0765468544335   	1.1515260045e-02
0.0767620209066   	1.1508555200e-02
0.0769771873797   	1.1495670654e-02
0.0771903615706   	1.1476316117e-02
0.0774035357616   	1.1457051343e-02
0.0776147176703   	1.1437936582e-02
0.0778258995791   	1.1418665974e-02
0.0780350892057   	1.1399379700e-02
0.0782442788323   	1.1380169899e-02
0.0784534684589   	1.1361282688e-02
0.0786606466468   	1.1342995266e-02
0.0788678248347   	1.1325056090e-02
0.0790729915839   	1.1307556905e-02
0.0792781583331   	1.1290342957e-02
0.0794813136435   	1.1273386188e-02
0.079684468954    	1.1255379274e-02
0.0798856128257   	1.1236905910e-02
0.0800867566975   	1.1218453750e-02
0.0802858891305   	1.1200204903e-02
0.0804850215635   	1.1181937410e-02
0.0806821425578   	1.1163781776e-02
0.080877272431    	1.1145688075e-02
0.0810724023041   	1.1127452865e-02
0.0812655410561   	1.1109283358e-02
0.0814586798081   	1.1091054850e-02
0.081649827439    	1.1073043938e-02
0.0818390044757   	1.1055333435e-02
0.0820281815124   	1.1037794537e-02
0.082215387955    	1.1020607602e-02
0.0824025943976   	1.1003526017e-02
0.082587830246    	1.0986682021e-02
0.0827730660945   	1.0969864790e-02
0.0829563313488   	1.0953226854e-02
0.0831395966031   	1.0936615683e-02
0.0833208912633   	1.0920279042e-02
0.0835021859235   	1.0904117692e-02
0.0836834805836   	1.0888184259e-02
0.0838627829948   	1.0872656308e-02
0.084042085406    	1.0857334279e-02
0.0842193955681   	1.0842356586e-02
0.0843967057303   	1.0827535155e-02
0.0845740158924   	1.0812867596e-02
0.0847513260546   	1.0758467927e-02
0.0849265981689   	9.8582523766e-03
0.0851018702832   	8.9694518667e-03
0.0852771423975   	8.0920465865e-03
0.085450352487    	7.2343656172e-03
0.0856235625764   	6.3856172606e-03
0.0857967726659   	5.5470673281e-03
0.0859699827553   	4.7204488062e-03
0.0861431928447   	3.9069572345e-03
0.086314264538    	3.1163902695e-03
0.0864853362313   	2.3378033157e-03
0.0866564079246   	1.5698001190e-03
0.0868274796178   	8.1097904001e-04
0.0869963580843   	6.9137079226e-05
0.0871652365507   	1.0606871065e-02
0.0873341150172   	1.0594721303e-02
0.0875007713985   	1.0583086670e-02
0.0876674277799   	1.0571663844e-02
0.0878340841612   	1.0560325871e-02
0.0879984884293   	1.0549145113e-02
0.0881628926974   	1.0537925209e-02
0.0883272969655   	1.0526647425e-02
0.088489417841    	1.0515481999e-02
0.0886515387164   	1.0504340203e-02
0.0888136595919   	1.0493340828e-02
0.0889734644549   	1.0482748332e-02
0.0891332693179   	1.0472450047e-02
0.0892930741808   	1.0462360668e-02
0.0894528790438   	1.0452248991e-02
0.0896102987596   	1.0442019328e-02
0.0897677184753   	1.0431454035e-02
0.0899251381911   	1.0420755609e-02
0.0900825579069   	1.0410274370e-02
0.0902375179396   	1.0400429973e-02
0.0903924779723   	1.0390776060e-02
0.090547438005    	1.0381826775e-02
0.0907023980377   	1.0373361316e-02
0.090854817742    	1.0364675010e-02
0.0910072374463   	1.0355851986e-02
0.0911596571506   	1.0346895418e-02
0.0913120768549   	1.0337879127e-02
0.0914644965592   	1.0328530885e-02
0.0916169162635   	1.0319292389e-02
0.0917666141874   	1.0310469979e-02
0.0919163121112   	1.0301888126e-02
0.0920660100351   	1.0293503963e-02
0.092215707959    	1.0285254179e-02
0.0923654058828   	1.0277048079e-02
0.0925151038067   	1.0268782996e-02
0.0926618664771   	1.0260551596e-02
0.0928086291476   	1.0252194094e-02
0.0929553918181   	1.0243798881e-02
0.0931021544885   	1.0235505579e-02
0.093248917159    	1.0227443052e-02
0.0933925572194   	1.0219837464e-02
0.0935361972799   	1.0212502054e-02
0.0936798373403   	1.0205377451e-02
0.0938234774008   	1.0198396319e-02
0.0939671174612   	1.0191517624e-02
0.0941107575217   	1.0184733618e-02
0.0942543975821   	1.0178045235e-02
0.0943945342264   	1.0171581776e-02
0.0945346708708   	1.0165084759e-02
0.0946748075151   	1.0157886428e-02
0.0948149441595   	1.0150685219e-02
0.0949550808038   	1.0143518310e-02
0.0950952174481   	1.0136487532e-02
0.0952314614079   	1.0129307936e-02
0.0953677053677   	1.0122332461e-02
0.0955039493275   	1.0116144914e-02
0.0956401932872   	1.0109798822e-02
0.095776437247    	1.0103041297e-02
0.0959126812068   	1.0096498245e-02
0.0960489251666   	1.0090253329e-02
0.0961851691263   	1.0084222522e-02
0.0963214130861   	1.0078236490e-02
0.0964576570459   	1.0071862639e-02
0.0965888549331   	1.0065386670e-02
0.0967200528203   	1.0059029248e-02
0.0968512507074   	1.0052828685e-02
0.0969824485946   	1.0046769036e-02
0.0971136464818   	1.0040788024e-02
0.097244844369    	1.0034811531e-02
0.0973760422562   	1.0028795936e-02
0.0975072401434   	1.0022752808e-02
0.0976384380306   	1.0016757303e-02
0.0977696359178   	1.0010924576e-02
0.097900833805    	1.0005291644e-02
0.0980320316922   	9.9998685845e-03
0.0981632295793   	9.9943885094e-03
0.0982944274665   	9.9883023122e-03
0.0984256253537   	9.9814264135e-03
0.0985568232409   	9.9744264515e-03
0.0986880211281   	9.9683229474e-03
0.0988192190153   	9.9634311283e-03
0.0989504169025   	9.9589964672e-03
0.0990816147897   	9.9539709690e-03
0.0992128126769   	9.9480362491e-03
0.0993440105641   	9.9418078531e-03
0.0994752084512   	9.9361272557e-03
0.0996064063384   	9.9312560673e-03
0.0997376042256   	9.9267413838e-03
0.0998688021128   	9.9219480951e-03
0.1               	9.9166549027e-03
0.100124688279    	9.9114154707e-03
0.100249376559    	9.9063605736e-03
0.100373753117    	9.9016487991e-03
0.100497818734    	9.8971029196e-03
0.100621574188    	9.8924961832e-03
0.100745020252    	9.8877580599e-03
0.100868157701    	9.8829127813e-03
0.100990987307    	9.8780219565e-03
0.101113509839    	9.8731987803e-03
0.101235726064    	9.8685833985e-03
0.101357636749    	9.8639676014e-03
0.101479242657    	9.8583661089e-03
0.101600544551    	9.8527207191e-03
0.101721543189    	9.8470518116e-03
0.101842239331    	9.8413906838e-03
0.101962633733    	9.8358757987e-03
0.102082727149    	9.8305453713e-03
0.102202520331    	9.8251311910e-03
0.10232201403     	9.8193252396e-03
0.102441208995    	9.8131640731e-03
0.102560105972    	9.8070390162e-03
0.102678705707    	9.8013502668e-03
0.102797008943    	9.7962070624e-03
0.102915016421    	9.7914239231e-03
0.10303272888     	9.7867096092e-03
0.103150441339    	9.7818282855e-03
0.103267858779    	9.7767083447e-03
0.103384689132    	9.7714365830e-03
0.103501227409    	9.7661761972e-03
0.103617474341    	9.7610584413e-03
0.103733430655    	9.7560851124e-03
0.103849097078    	9.7511270243e-03
0.103964474336    	9.7460454306e-03
0.10407956315     	9.7408610618e-03
0.104194364242    	9.7357128077e-03
0.104308878331    	9.7307179247e-03
0.104423106135    	9.7259484261e-03
0.10453704837     	9.7214903293e-03
0.104650705749    	9.7174057914e-03
0.104764078985    	9.7135846720e-03
0.104877168787    	9.7096921678e-03
0.104989975865    	9.7053490529e-03
0.105102500926    	9.7004165184e-03
0.105214744673    	9.6951151226e-03
0.105326707812    	9.6898578354e-03
0.105438391042    	9.6849594035e-03
0.105549795065    	9.6804778848e-03
0.105660920577    	9.6762803537e-03
0.105771768275    	9.6722100892e-03
0.105882615974    	9.6682119105e-03
0.105993185859    	9.6643194827e-03
0.106103478626    	9.6604870161e-03
0.10621349497     	9.6566271530e-03
0.106323235584    	9.6527423988e-03
0.106432701159    	9.6489128199e-03
0.106541892385    	9.6451594345e-03
0.106650809948    	9.6414144084e-03
0.10675972751     	9.6376363001e-03
0.106868371411    	9.6339101075e-03
0.106976742337    	9.6303221406e-03
0.107084840975    	9.6269193630e-03
0.107192668007    	9.6234917831e-03
0.107300224118    	9.6197043042e-03
0.107407780228    	9.6155479291e-03
0.107515065417    	9.6118860091e-03
0.107622080365    	9.6084453325e-03
0.107728825755    	9.6050326401e-03
0.107835302264    	9.6019038785e-03
0.107941778774    	9.5991849409e-03
0.108047986403    	9.5965647756e-03
0.108153925831    	9.5936311072e-03
0.10825986526     	9.5902736203e-03
0.108365536487    	9.5867116772e-03
0.108470940192    	9.5832309826e-03
0.108576077052    	9.5800223440e-03
0.108680947743    	9.5771696165e-03
0.108785818434    	9.5747007684e-03
0.108890422956    	9.5725459264e-03
0.108994761984    	9.5703935102e-03
0.109098836192    	9.5678054260e-03
0.109202646253    	9.5645875468e-03
0.109306192836    	9.5610384001e-03
0.10940947661     	9.5577401909e-03
0.109512760385    	9.5550739723e-03
0.109615781351    	9.5529766328e-03
0.109718540177    	9.5511143932e-03
0.10982103753     	9.5492583573e-03
0.109923534883    	9.5473199474e-03
0.110025770764    	9.5451989479e-03
