# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	max(T)
1.19999040008e-06 	2.9315000008e+02
2.63996505619e-06 	2.9315000017e+02
4.36794459704e-06 	2.9315000028e+02
6.44150571252e-06 	2.9315000041e+02
8.92973776977e-06 	2.9315000056e+02
1.19155270705e-05 	2.9315000072e+02
1.54983886296e-05 	2.9315000088e+02
1.97977608653e-05 	2.9315000103e+02
2.49567412781e-05 	2.9315000110e+02
3.11471343486e-05 	2.9315000100e+02
3.8575237941e-05  	2.9315000057e+02
4.74889622518e-05 	2.9315000001e+02
5.81854314247e-05 	2.9315000000e+02
7.10206446266e-05 	2.9315000000e+02
8.64213168522e-05 	2.9315000000e+02
0.000104900983155 	2.9315000000e+02
0.000127076582718 	2.9315000000e+02
0.000153689668853 	2.9315000000e+02
0.000185621962467 	2.9315000000e+02
0.000223940714803 	2.9315000000e+02
0.000269901988382 	2.9315000000e+02
0.000325035134736 	2.9315000000e+02
0.000391180227766 	2.9315000000e+02
0.000470554339401 	2.9315000001e+02
0.000565803273364 	2.9315003453e+02
0.000679970009453 	2.9315016474e+02
0.00081697009276  	2.9315019225e+02
0.00098146183158  	2.9315013337e+02
0.00117911722742  	2.9315008240e+02
0.00141611180399  	2.9315029950e+02
0.00166654421737  	2.9315101099e+02
0.00191697663075  	2.9315262993e+02
0.00216740904413  	2.9315574077e+02
0.00241784145751  	2.9316099538e+02
0.00266827387089  	2.9316895409e+02
0.00291870628428  	2.9318017614e+02
0.00316913869766  	2.9319434762e+02
0.00341957111104  	2.9321053040e+02
0.00367000352442  	2.9322706968e+02
0.0039204359378   	2.9324267400e+02
0.00417086835118  	2.9325455011e+02
0.00442130076456  	2.9326306699e+02
0.00467173317795  	2.9326914755e+02
0.00492216559133  	2.9327275560e+02
0.00517259800471  	2.9327336647e+02
0.00542303041809  	2.9327293887e+02
0.00567346283147  	2.9327043307e+02
0.00592389524485  	2.9326725797e+02
0.00617432765824  	2.9326368228e+02
0.00642476007162  	2.9325945400e+02
0.006675192485    	2.9325484896e+02
0.00692562489838  	2.9325101818e+02
0.00717605731176  	2.9324949852e+02
0.00742648972514  	2.9326165856e+02
0.00767692213852  	2.9327371369e+02
0.00792735455191  	2.9327895148e+02
0.00817778696529  	2.9332029113e+02
0.00842821937867  	2.9330487459e+02
0.00867865179205  	2.9330433857e+02
0.00892908420543  	2.9332466428e+02
0.00917951661881  	2.9328299380e+02
0.0094299490322   	2.9329523035e+02
0.00968038144558  	2.9331886862e+02
0.00993081385896  	2.9333892338e+02
0.0101812462723   	2.9334861725e+02
0.0104316786857   	2.9334406190e+02
0.0106821110991   	2.9332556829e+02
0.0109325435125   	2.9330046183e+02
0.0111829759259   	2.9329039024e+02
0.0114334083392   	2.9330133011e+02
0.0116838407526   	2.9330830700e+02
0.011934273166    	2.9330935353e+02
0.0121847055794   	2.9330543331e+02
0.0124351379928   	2.9329848652e+02
0.0126855704062   	2.9331033447e+02
0.0129360028195   	2.9331235930e+02
0.0131864352329   	2.9331131582e+02
0.0134368676463   	2.9331790000e+02
0.0136873000597   	2.9331264999e+02
0.0139377324731   	2.9330571713e+02
0.0141881648864   	2.9330838833e+02
0.0144385972998   	2.9331745624e+02
0.0146890297132   	2.9332491432e+02
0.0149394621266   	2.9332585477e+02
0.01518989454     	2.9331926338e+02
0.0154403269534   	2.9331310697e+02
0.0156907593667   	2.9331744057e+02
0.0159411917801   	2.9331815035e+02
0.0161916241935   	2.9332566909e+02
0.0164420566069   	2.9333308821e+02
0.0166924890203   	2.9333883413e+02
0.0169429214336   	2.9334139537e+02
0.017193353847    	2.9334727090e+02
0.0174437862604   	2.9335412280e+02
0.0176942186738   	2.9336016229e+02
0.0179446510872   	2.9336565985e+02
0.0181950835005   	2.9337802536e+02
0.0184455159139   	2.9340005407e+02
0.0186959483273   	2.9341403057e+02
0.0189463807407   	2.9341686895e+02
0.0191968131541   	2.9341032136e+02
0.0194472455675   	2.9340310147e+02
0.0196976779808   	2.9340689056e+02
0.0199481103942   	2.9341693280e+02
0.0201985428076   	2.9342359652e+02
0.020448975221    	2.9343081109e+02
0.0206994076344   	2.9344262912e+02
0.0209498400477   	2.9345738973e+02
0.0212002724611   	2.9347299864e+02
0.0214507048745   	2.9348551247e+02
0.0217011372879   	2.9349464114e+02
0.0219515697013   	2.9350210004e+02
0.0222020021147   	2.9350918593e+02
0.022452434528    	2.9351577224e+02
0.0227028669414   	2.9352130278e+02
0.0229532993548   	2.9352586949e+02
0.0232037317682   	2.9353007209e+02
0.0234541641816   	2.9353437777e+02
0.0237045965949   	2.9353916528e+02
0.0239550290083   	2.9354533850e+02
0.0242054614217   	2.9355428298e+02
0.0244558938351   	2.9356684485e+02
0.0247063262485   	2.9358255337e+02
0.0249567586618   	2.9360002584e+02
0.0252071910752   	2.9361794171e+02
0.0254576234886   	2.9363548075e+02
0.025708055902    	2.9365207045e+02
0.0259584883154   	2.9366709776e+02
0.0262089207288   	2.9367995509e+02
0.0264593531421   	2.9369082104e+02
0.0267097855555   	2.9369918891e+02
0.0269602179689   	2.9370492354e+02
0.0272106503823   	2.9370865727e+02
0.0274610827957   	2.9371139361e+02
0.027711515209    	2.9371483856e+02
0.0279619476224   	2.9372109081e+02
0.0282123800358   	2.9372996343e+02
0.0284628124492   	2.9373919855e+02
0.0287132448626   	2.9374940171e+02
0.028963677276    	2.9376186408e+02
0.0292141096893   	2.9377503554e+02
0.0294645421027   	2.9378771865e+02
0.0297149745161   	2.9380120487e+02
0.0299654069295   	2.9381621783e+02
0.0302158393429   	2.9383112291e+02
0.0304662717562   	2.9384433284e+02
0.0307167041696   	2.9385631411e+02
0.030967136583    	2.9386787487e+02
0.0312175689964   	2.9387819632e+02
0.0314680014098   	2.9388645720e+02
0.0317184338231   	2.9389396733e+02
0.0319688662365   	2.9390277494e+02
0.0322192986499   	2.9391259511e+02
0.0324697310633   	2.9392125010e+02
0.0327201634767   	2.9392803489e+02
0.0329705958901   	2.9393466730e+02
0.0332210283034   	2.9394272267e+02
0.0334714607168   	2.9395176336e+02
0.0337218931302   	2.9396075042e+02
0.0339723255436   	2.9397010747e+02
0.034222757957    	2.9398122669e+02
0.0344731903703   	2.9399443962e+02
0.0347236227837   	2.9400839875e+02
0.0349740551971   	2.9402298038e+02
0.0352244876105   	2.9403656547e+02
0.0354749200239   	2.9404584211e+02
0.0357253524373   	2.9405135323e+02
0.0359757848506   	2.9405603614e+02
0.036226217264    	2.9406054714e+02
0.0364766496774   	2.9406592748e+02
0.0367270820908   	2.9407656811e+02
0.0369775145042   	2.9409163404e+02
0.0372279469175   	2.9410092850e+02
0.0374783793309   	2.9410013859e+02
0.0377288117443   	2.9409881150e+02
0.0379792441577   	2.9410373763e+02
0.0382296765711   	2.9411190277e+02
0.0384801089845   	2.9411901723e+02
0.0387305413978   	2.9412533241e+02
0.0389809738112   	2.9413207214e+02
0.0392314062246   	2.9413829949e+02
