# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	min(T)
1.19999040008e-06 	2.9314999947e+02
2.63996505619e-06 	2.9314999883e+02
4.36794459704e-06 	2.9314999806e+02
6.44150571252e-06 	2.9314999714e+02
8.92973776977e-06 	2.9314999604e+02
1.19155270705e-05 	2.9314999471e+02
1.54983886296e-05 	2.9314999311e+02
1.97977608653e-05 	2.9314999118e+02
2.49567412781e-05 	2.9314998885e+02
3.11471343486e-05 	2.9314998604e+02
3.8575237941e-05  	2.9314998263e+02
4.74889622518e-05 	2.9314997846e+02
5.81854314247e-05 	2.9314997336e+02
7.10206446266e-05 	2.9314996705e+02
8.64213168522e-05 	2.9314995919e+02
0.000104900983155 	2.9314994933e+02
0.000127076582718 	2.9314993692e+02
0.000153689668853 	2.9314991054e+02
0.000185621962467 	2.9314986331e+02
0.000223940714803 	2.9314980582e+02
0.000269901988382 	2.9314974971e+02
0.000325035134736 	2.9314971882e+02
0.000391180227766 	2.9314970271e+02
0.000470554339401 	2.9314967219e+02
0.000565803273364 	2.9314969642e+02
0.000679970009453 	2.9314977185e+02
0.00081697009276  	2.9314979092e+02
0.00098146183158  	2.9314980260e+02
0.00117911722742  	2.9314978377e+02
0.00141611180399  	2.9314974459e+02
0.00166654421737  	2.9314968570e+02
0.00191697663075  	2.9314964642e+02
0.00216740904413  	2.9314959900e+02
0.00241784145751  	2.9314953354e+02
0.00266827387089  	2.9314945608e+02
0.00291870628428  	2.9314937834e+02
0.00316913869766  	2.9314930791e+02
0.00341957111104  	2.9314924458e+02
0.00367000352442  	2.9314918501e+02
0.0039204359378   	2.9314912689e+02
0.00417086835118  	2.9314907150e+02
0.00442130076456  	2.9314902487e+02
0.00467173317795  	2.9314899973e+02
0.00492216559133  	2.9314901933e+02
0.00517259800471  	2.9314912140e+02
0.00542303041809  	2.9314936292e+02
0.00567346283147  	2.9314982754e+02
0.00592389524485  	2.9314994992e+02
0.00617432765824  	2.9313491284e+02
0.00642476007162  	2.9312389051e+02
0.006675192485    	2.9311181759e+02
0.00692562489838  	2.9310461256e+02
0.00717605731176  	2.9310000972e+02
0.00742648972514  	2.9309638496e+02
0.00767692213852  	2.9309467568e+02
0.00792735455191  	2.9309361985e+02
0.00817778696529  	2.9309381851e+02
0.00842821937867  	2.9309472057e+02
0.00867865179205  	2.9309855263e+02
0.00892908420543  	2.9310248108e+02
0.00917951661881  	2.9310880049e+02
0.0094299490322   	2.9310373076e+02
0.00968038144558  	2.9309235227e+02
0.00993081385896  	2.9308331423e+02
0.0101812462723   	2.9307350294e+02
0.0104316786857   	2.9306683749e+02
0.0106821110991   	2.9306587564e+02
0.0109325435125   	2.9306736177e+02
0.0111829759259   	2.9307330621e+02
0.0114334083392   	2.9308370507e+02
0.0116838407526   	2.9309626899e+02
0.011934273166    	2.9308657093e+02
0.0121847055794   	2.9305744644e+02
0.0124351379928   	2.9303801540e+02
0.0126855704062   	2.9304094013e+02
0.0129360028195   	2.9306114463e+02
0.0131864352329   	2.9309458070e+02
0.0134368676463   	2.9312927546e+02
0.0136873000597   	2.9312382521e+02
0.0139377324731   	2.9311137722e+02
0.0141881648864   	2.9308949407e+02
0.0144385972998   	2.9306891784e+02
0.0146890297132   	2.9305443787e+02
0.0149394621266   	2.9304529663e+02
0.01518989454     	2.9304078595e+02
0.0154403269534   	2.9303905988e+02
0.0156907593667   	2.9303940345e+02
0.0159411917801   	2.9304097875e+02
0.0161916241935   	2.9304285260e+02
0.0164420566069   	2.9304418229e+02
0.0166924890203   	2.9304457326e+02
0.0169429214336   	2.9304401144e+02
0.017193353847    	2.9304246698e+02
0.0174437862604   	2.9303976380e+02
0.0176942186738   	2.9303582485e+02
0.0179446510872   	2.9303674417e+02
0.0181950835005   	2.9302260678e+02
0.0184455159139   	2.9301181690e+02
0.0186959483273   	2.9300669634e+02
0.0189463807407   	2.9299784954e+02
0.0191968131541   	2.9298449620e+02
0.0194472455675   	2.9301083523e+02
0.0196976779808   	2.9296396277e+02
0.0199481103942   	2.9297480097e+02
0.0201985428076   	2.9298769472e+02
0.020448975221    	2.9297815947e+02
0.0206994076344   	2.9297883003e+02
0.0209498400477   	2.9298462965e+02
0.0212002724611   	2.9298176747e+02
0.0214507048745   	2.9297308373e+02
0.0217011372879   	2.9297106188e+02
0.0219515697013   	2.9295367403e+02
0.0222020021147   	2.9294113244e+02
0.022452434528    	2.9292926955e+02
0.0227028669414   	2.9291548818e+02
0.0229532993548   	2.9289708945e+02
0.0232037317682   	2.9287761804e+02
0.0234541641816   	2.9286394119e+02
0.0237045965949   	2.9285636713e+02
0.0239550290083   	2.9285194044e+02
0.0242054614217   	2.9285014104e+02
0.0244558938351   	2.9285196003e+02
0.0247063262485   	2.9285690912e+02
0.0249567586618   	2.9286266223e+02
0.0252071910752   	2.9286660982e+02
0.0254576234886   	2.9286695156e+02
0.025708055902    	2.9286290014e+02
0.0259584883154   	2.9285446629e+02
0.0262089207288   	2.9284225373e+02
0.0264593531421   	2.9282975014e+02
0.0267097855555   	2.9281381438e+02
0.0269602179689   	2.9279858448e+02
0.0272106503823   	2.9278356213e+02
0.0274610827957   	2.9277129533e+02
0.027711515209    	2.9276599354e+02
0.0279619476224   	2.9276708573e+02
0.0282123800358   	2.9276919957e+02
0.0284628124492   	2.9277094487e+02
0.0287132448626   	2.9278107904e+02
0.028963677276    	2.9277837876e+02
0.0292141096893   	2.9277699235e+02
0.0294645421027   	2.9277004105e+02
0.0297149745161   	2.9276360687e+02
0.0299654069295   	2.9275884284e+02
0.0302158393429   	2.9275504910e+02
0.0304662717562   	2.9275159643e+02
0.0307167041696   	2.9274816921e+02
0.030967136583    	2.9274443479e+02
0.0312175689964   	2.9273979686e+02
0.0314680014098   	2.9273367043e+02
0.0317184338231   	2.9272585126e+02
0.0319688662365   	2.9271652390e+02
0.0322192986499   	2.9270597659e+02
0.0324697310633   	2.9269436547e+02
0.0327201634767   	2.9268179761e+02
0.0329705958901   	2.9266888520e+02
0.0332210283034   	2.9265676774e+02
0.0334714607168   	2.9264579489e+02
0.0337218931302   	2.9263485217e+02
0.0339723255436   	2.9262284810e+02
0.034222757957    	2.9261042646e+02
0.0344731903703   	2.9259934672e+02
0.0347236227837   	2.9259044351e+02
0.0349740551971   	2.9258305591e+02
0.0352244876105   	2.9257631077e+02
0.0354749200239   	2.9256964521e+02
0.0357253524373   	2.9256224149e+02
0.0359757848506   	2.9255341248e+02
0.036226217264    	2.9254376641e+02
0.0364766496774   	2.9252598603e+02
0.0367270820908   	2.9251805039e+02
0.0369775145042   	2.9250256898e+02
0.0372279469175   	2.9247664982e+02
0.0374783793309   	2.9244629069e+02
0.0377288117443   	2.9242289802e+02
0.0379792441577   	2.9239452302e+02
0.0382296765711   	2.9237473540e+02
0.0384801089845   	2.9235909853e+02
0.0387305413978   	2.9234137546e+02
0.0389809738112   	2.9232243285e+02
0.0392314062246   	2.9230336673e+02
0.039481838638    	2.9228377322e+02
0.0397322710514   	2.9226536421e+02
0.0399827034647   	2.9224739857e+02
0.0402331358781   	2.9221398946e+02
0.0404835682915   	2.9218266551e+02
0.0407340007049   	2.9215333803e+02
0.0409844331183   	2.9212202980e+02
0.0412348655316   	2.9208835801e+02
0.041485297945    	2.9205272388e+02
0.0417357303584   	2.9201715148e+02
0.0419861627718   	2.9198362058e+02
0.0422365951852   	2.9195075474e+02
0.0424870275986   	2.9191767833e+02
0.0427374600119   	2.9188267256e+02
0.0429878924253   	2.9184549092e+02
