# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	min(T)
1.19999040008e-06 	2.9314999947e+02
2.63996505619e-06 	2.9314999883e+02
4.36794459704e-06 	2.9314999806e+02
6.44150571252e-06 	2.9314999714e+02
8.92973776977e-06 	2.9314999604e+02
1.19155270705e-05 	2.9314999471e+02
1.54983886296e-05 	2.9314999311e+02
1.97977608653e-05 	2.9314999118e+02
2.49567412781e-05 	2.9314998885e+02
3.11471343486e-05 	2.9314998604e+02
3.8575237941e-05  	2.9314998263e+02
4.74889622518e-05 	2.9314997846e+02
5.81854314247e-05 	2.9314997336e+02
7.10206446266e-05 	2.9314996705e+02
8.64213168522e-05 	2.9314995919e+02
0.000104900983155 	2.9314994934e+02
0.000127076582718 	2.9314993692e+02
0.000153689668853 	2.9314991054e+02
0.000185621962467 	2.9314986332e+02
0.000223940714803 	2.9314980583e+02
0.000269901988382 	2.9314974973e+02
0.000325035134736 	2.9314971884e+02
0.000391180227766 	2.9314970270e+02
0.000470554339401 	2.9314967217e+02
0.000565803273364 	2.9314969639e+02
0.000679970009453 	2.9314977181e+02
0.00081697009276  	2.9314979095e+02
0.00098146183158  	2.9314980265e+02
0.00117911722742  	2.9314978381e+02
0.00141611180399  	2.9314974482e+02
0.00166654421737  	2.9314968595e+02
0.00191697663075  	2.9314964676e+02
0.00216740904413  	2.9314959942e+02
0.00241784145751  	2.9314953404e+02
0.00266827387089  	2.9314945667e+02
0.00291870628428  	2.9314937903e+02
0.00316913869766  	2.9314930856e+02
0.00341957111104  	2.9314924535e+02
0.00367000352442  	2.9314918598e+02
0.0039204359378   	2.9314912795e+02
0.00417086835118  	2.9314907266e+02
0.00442130076456  	2.9314902615e+02
0.00467173317795  	2.9314900117e+02
0.00492216559133  	2.9314902100e+02
0.00517259800471  	2.9314912356e+02
0.00542303041809  	2.9314936557e+02
0.00567346283147  	2.9314983140e+02
0.00592389524485  	2.9314994993e+02
0.00617432765824  	2.9313606403e+02
0.00642476007162  	2.9312513809e+02
0.006675192485    	2.9311297875e+02
0.00692562489838  	2.9310572950e+02
0.00717605731176  	2.9310110965e+02
0.00742648972514  	2.9309746724e+02
0.00767692213852  	2.9309567154e+02
0.00792735455191  	2.9309457020e+02
0.00817778696529  	2.9309477146e+02
0.00842821937867  	2.9309556699e+02
0.00867865179205  	2.9309932902e+02
0.00892908420543  	2.9310332190e+02
0.00917951661881  	2.9310961675e+02
0.0094299490322   	2.9311875629e+02
0.00968038144558  	2.9311143055e+02
0.00993081385896  	2.9309318212e+02
0.0101812462723   	2.9308506263e+02
0.0104316786857   	2.9308649254e+02
0.0106821110991   	2.9309126835e+02
0.0109325435125   	2.9308624498e+02
0.0111829759259   	2.9308524664e+02
0.0114334083392   	2.9308866052e+02
0.0116838407526   	2.9309732923e+02
0.011934273166    	2.9308910488e+02
0.0121847055794   	2.9305962142e+02
0.0124351379928   	2.9304027063e+02
0.0126855704062   	2.9304330185e+02
0.0129360028195   	2.9306350704e+02
0.0131864352329   	2.9309711168e+02
0.0134368676463   	2.9312920253e+02
0.0136873000597   	2.9312454107e+02
0.0139377324731   	2.9311237554e+02
0.0141881648864   	2.9309052585e+02
0.0144385972998   	2.9307120953e+02
0.0146890297132   	2.9305791248e+02
0.0149394621266   	2.9304875114e+02
0.01518989454     	2.9304434303e+02
0.0154403269534   	2.9304189327e+02
0.0156907593667   	2.9304155524e+02
0.0159411917801   	2.9304272447e+02
0.0161916241935   	2.9304451924e+02
0.0164420566069   	2.9304601794e+02
0.0166924890203   	2.9304665765e+02
0.0169429214336   	2.9304628787e+02
0.017193353847    	2.9304490946e+02
0.0174437862604   	2.9304248851e+02
0.0176942186738   	2.9304488667e+02
0.0179446510872   	2.9303223648e+02
0.0181950835005   	2.9302255397e+02
0.0184455159139   	2.9301835753e+02
0.0186959483273   	2.9301076022e+02
0.0189463807407   	2.9299859405e+02
0.0191968131541   	2.9302577001e+02
0.0194472455675   	2.9297602754e+02
0.0196976779808   	2.9298391295e+02
0.0199481103942   	2.9299258218e+02
0.0201985428076   	2.9297888268e+02
0.020448975221    	2.9297682681e+02
0.0206994076344   	2.9298232144e+02
0.0209498400477   	2.9298168867e+02
0.0212002724611   	2.9297693676e+02
0.0214507048745   	2.9297925922e+02
0.0217011372879   	2.9296578706e+02
0.0219515697013   	2.9295651741e+02
0.0222020021147   	2.9294910472e+02
0.022452434528    	2.9293258591e+02
0.0227028669414   	2.9291188085e+02
0.0229532993548   	2.9289411445e+02
0.0232037317682   	2.9287928492e+02
0.0234541641816   	2.9286610092e+02
0.0237045965949   	2.9285535693e+02
0.0239550290083   	2.9284876603e+02
0.0242054614217   	2.9284728469e+02
0.0244558938351   	2.9285025548e+02
0.0247063262485   	2.9285576536e+02
0.0249567586618   	2.9286150326e+02
0.0252071910752   	2.9286532319e+02
0.0254576234886   	2.9286565678e+02
0.025708055902    	2.9286151790e+02
0.0259584883154   	2.9285498670e+02
0.0262089207288   	2.9284203891e+02
0.0264593531421   	2.9282625984e+02
0.0267097855555   	2.9280755305e+02
0.0269602179689   	2.9278922566e+02
0.0272106503823   	2.9277653994e+02
0.0274610827957   	2.9276921830e+02
0.027711515209    	2.9276456769e+02
0.0279619476224   	2.9276866060e+02
0.0282123800358   	2.9276279179e+02
0.0284628124492   	2.9276089024e+02
0.0287132448626   	2.9276848263e+02
0.028963677276    	2.9276922058e+02
0.0292141096893   	2.9275843847e+02
0.0294645421027   	2.9274946798e+02
0.0297149745161   	2.9274218665e+02
0.0299654069295   	2.9273642421e+02
0.0302158393429   	2.9273190661e+02
0.0304662717562   	2.9272804393e+02
0.0307167041696   	2.9272401740e+02
0.030967136583    	2.9271919600e+02
0.0312175689964   	2.9271337189e+02
0.0314680014098   	2.9270654781e+02
0.0317184338231   	2.9269853529e+02
0.0319688662365   	2.9268889656e+02
0.0322192986499   	2.9267756827e+02
0.0324697310633   	2.9266517853e+02
0.0327201634767   	2.9265211254e+02
0.0329705958901   	2.9263793756e+02
0.0332210283034   	2.9262245526e+02
0.0334714607168   	2.9260678881e+02
0.0337218931302   	2.9259272505e+02
0.0339723255436   	2.9258128236e+02
0.034222757957    	2.9257217611e+02
0.0344731903703   	2.9256394074e+02
0.0347236227837   	2.9255467108e+02
0.0349740551971   	2.9254358526e+02
0.0352244876105   	2.9253200889e+02
0.0354749200239   	2.9252209147e+02
0.0357253524373   	2.9251445538e+02
0.0359757848506   	2.9250499712e+02
0.036226217264    	2.9247505852e+02
0.0364766496774   	2.9244000444e+02
0.0367270820908   	2.9240084614e+02
0.0369775145042   	2.9237604830e+02
0.0372279469175   	2.9235646621e+02
0.0374783793309   	2.9233502182e+02
0.0377288117443   	2.9231107129e+02
0.0379792441577   	2.9228456128e+02
0.0382296765711   	2.9225557121e+02
0.0384801089845   	2.9222740444e+02
0.0387305413978   	2.9220092611e+02
0.0389809738112   	2.9217707228e+02
0.0392314062246   	2.9215376706e+02
0.039481838638    	2.9212995843e+02
0.0397322710514   	2.9210764390e+02
0.0399827034647   	2.9208366193e+02
0.0402331358781   	2.9206336216e+02
0.0404835682915   	2.9203741355e+02
0.0407340007049   	2.9200193503e+02
0.0409844331183   	2.9196527458e+02
0.0412348655316   	2.9192725438e+02
0.041485297945    	2.9188856238e+02
0.0417357303584   	2.9184932993e+02
0.0419861627718   	2.9180970026e+02
0.0422365951852   	2.9176965925e+02
0.0424870275986   	2.9172908318e+02
0.0427374600119   	2.9168844466e+02
0.0429878924253   	2.9164879683e+02
