Plan Name,Experiment_Plan_v000
Responsible Researcher,PhD Student Javier I. Camacho
Objective,LU / DBI / Kistler pressure DAQ systems characterisation.
Start Date,2026-05-25
Deadline,2026-05-29
Total Experiments,27
Generated At,2026-06-06 10:47:09

Run Name,Group,Group Description,Status,Done,Preparation,Schedule,Planned Date,Planned Day,H2 (%),H2 Injected (g),MFC Flow (SLPM),Ignition,Vent,Pressure P0 (Pa),Temperature T0 (K),Recirc Stop To Ignition (s),Case ID / CFD Hash,Data Files Count,File Path (Raw_Data Folder),Short Description,Run Notes,Error,Error Note,Canceled,Canceled Note
VH2D-Wk22-01-07,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,20,13.461640414306215,20,Back Wall,Thin Film with Hotwire Activated,101325,290.56,,,3,VH2D-Wk22-01-07/DAQ-1/DAQ-1-VH2D-01-07.tpc5 | VH2D-Wk22-01-07/DAQ-2-3/VH2D-01-07.mf4 | VH2D-Wk22-01-07/H2BGA/H2BGA-U-M-L-VH2D-01-07-260527-180934.csv,,PP1 and PP3 swapped,No,,No,
VH2D-Wk22-01-08,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),canceled,No,Yes,2026-05-27,2026-05-27,,20,,,Back Wall,Thin Film with Hotwire Activated,101325,293,,,0,,,,No,,Yes,Time restriction
VH2D-Wk22-02-01,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,289.95,243,,4,VH2D-Wk22-02-01/DAQ-1/DAQ-1-VH2D-02-01.tpc5 | VH2D-Wk22-02-01/DAQ-2-3/DAQ-2-3-VH2D-02-01.mf4 | VH2D-Wk22-02-01/DAQ-4/DAQ-4-VH2D-02-01.mf4 | VH2D-Wk22-02-01/H2BGA/H2BGA-U-M-L-VH2D-02-01-260528-105051.csv,,"Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-02-02,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,291.15,231,,4,VH2D-Wk22-02-02/DAQ-1/DAQ-1-VH2D-02-02.tpc5 | VH2D-Wk22-02-02/DAQ-2-3/DAQ-2-3-VH2D-02-02.mf4 | VH2D-Wk22-02-02/DAQ-4/DAQ-4-VH2D-02-02.mf4 | VH2D-Wk22-02-02/H2BGA/H2BGA-U-M-L-VH2D-02-02-260528-115959.csv,,"P3 and P7 swapped

Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-02-03,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,Back Wall,Thin Film with Hotwire Activated,101325,293.15,232,,4,VH2D-Wk22-02-03/DAQ-1/DAQ-1-VH2D-02-03.tpc5 | VH2D-Wk22-02-03/DAQ-2-3/DAQ-2-3-VH2D-02-03.mf4 | VH2D-Wk22-02-03/DAQ-4/DAQ-4-VH2D-02-03.mf4 | VH2D-Wk22-02-03/H2BGA/H2BGA-U-M-L-VH2D-02-03-260528-134340.csv,,"P3 and P7 swapped

Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-02-04,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,back,thin film,101325,292.15,221,,4,VH2D-Wk22-02-04/DAQ-1/DAQ-1-VH2D-02-04.tpc5 | VH2D-Wk22-02-04/DAQ-2-3/DAQ-2-3-VH2D-02-04.mf4 | VH2D-Wk22-02-04/DAQ-4/DAQ-4-VH2D-02-04.mf4 | VH2D-Wk22-02-04/H2BGA/H2BGA-U-M-L-VH2D-02-04-260528-144105.csv,,"P3 and P7 swapped

Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-01,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,292.45,230,,3,VH2D-Wk22-03-01/DAQ-1/DAQ-1-VH2D-03-01.tpc5 | VH2D-Wk22-03-01/DAQ-2-3/DAQ-2-3-VH2D-03.mf4 | VH2D-Wk22-03-01/H2BGA/H2BGA-U-M-L-VH2D-03-01-260528-160918.csv,,"Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-02,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,292.25,232,,3,VH2D-Wk22-03-02/DAQ-1/DAQ-1-VH2D-03-02.tpc5 | VH2D-Wk22-03-02/DAQ-2-3/DAQ-2-3-VH2D-03-02.mf4 | VH2D-Wk22-03-02/H2BGA/H2BGA-U-M-L-VH2D-03-02-260528-164833.csv,,"PP3 moved to 5m radius

Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-03,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),error,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,Back Wall,Thin Film,101325,292.15,,,3,VH2D-Wk22-03-03/DAQ-1/DAQ-1-VH2D-03-03.tpc5 | VH2D-Wk22-03-03/DAQ-2-3/DAQ-2-3-VH2D-03-03.mf4 | VH2D-Wk22-03-03/H2BGA/H2BGA-U-M-L-VH2D-03-03-260528-173139.csv,Attention!!! Hot-wire short circuit. Check carefully data could compromised.,"Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568

Attention!!! Hot-wire short circuit. Check carefully data could compromised.",Yes,Attention!!! Hot-wire short circuit. Check carefully data could compromised.,No,
VH2D-Wk22-03-04,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,vack,thin,101325,291.65,221,,3,VH2D-Wk22-03-04/DAQ-1/DAQ-1-VH2D-03-04.tpc5 | VH2D-Wk22-03-04/DAQ-2-3/DAQ-2-3-VH2D-03-04.mf4 | VH2D-Wk22-03-04/H2BGA/H2BGA-U-M-L-VH2D-03-04-260528-181435.csv,,"Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-05,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,Back  Wall,Thin Film,101325,291.45,321,,3,VH2D-Wk22-03-05/DAQ-1/DAQ-1-VH2D-03-05.tpc5 | VH2D-Wk22-03-05/DAQ-2-3/DAQ-2-3-VH2D-03-05.mf4 | VH2D-Wk22-03-05/H2BGA/H2BGA-U-M-L-VH2D-03-05-260528-184939.csv,,"Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-04-01,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,16,10.885280000000002,20,Back Wall,Thin Film with Hotwire Activated,101325,291.75,245,,3,VH2D-Wk22-04-01/DAQ-1/DAQ-1-VH2D-04-01.tpc5 | VH2D-Wk22-04-01/DAQ-2-3/DAQ-2-3-VH2D-04-01_Rec_01.mf4 | VH2D-Wk22-04-01/H2BGA/H2BGA-U-M-L-VH2D-04-01-260529-104759.csv,,"Added 10.885 gr
Correlation>
M= 69.638 C - 0.2568


Missing data from H2CM. !!! Mean Value: 16.1 Vol.%",No,,No,
VH2D-Wk22-04-02,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,16,10.885280000000002,20,Back Wall,Thin Film with Hotwire Activated,101325,292.75,502,,3,VH2D-Wk22-04-02/DAQ-1/DAQ-1-VH2D-04-02.tpc5 | VH2D-Wk22-04-02/DAQ-2-3/DAQ-2-3-VH2D-04-02_Rec_01.mf4 | VH2D-Wk22-04-02/H2BGA/H2BGA-U-M-L-VH2D-04-02-260529-115753.csv,,"Added 10.885 gr
Correlation>
M= 69.638 C - 0.2568
1024 hPa
HR 53%
",No,,No,
VH2D-Wk22-04-03,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,21,14.367180000000001,20,Back,thin plastic,101325,293.05,261,,3,VH2D-Wk22-04-03/DAQ-1/DAQ-1-VH2D-04-03.tpc5 | VH2D-Wk22-04-03/DAQ-2-3/DAQ-2-3-VH2D-04-03_Rec_01.mf4 | VH2D-Wk22-04-03/H2BGA/H2BGA-U-M-L-VH2D-04-03-260529-125215.csv,,"Added 14.367 gr
Correlation>
M= 69.638 C - 0.2568
1023 hPa
HR 57%",No,,No,
VH2D-Wk22-04-04,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,21,14.367180000000001,20,Back Wall,Thin Film with Hotwire Activated,101325,293.75,252,,3,VH2D-Wk22-04-04/DAQ-1/DAQ-1-VH2D-04-04.tpc5 | VH2D-Wk22-04-04/DAQ-2-3/DAQ-2-3-VH2D-04-04_Rec_01.mf4 | VH2D-Wk22-04-04/H2BGA/H2BGA-U-M-L-VH2D-04-04-260529-135315.csv,,"Added 14.367 gr
Correlation>
M= 69.638 C - 0.2568
1023 hPa
HR 44%",No,,No,
VH2D-Wk22-04-05,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,12,8.09976,10,Back Wall,Thin Film with Hotwire Activated,101325,295.05,,,3,VH2D-Wk22-04-05/DAQ-1/DAQ-1-VH2D-04-05.tpc5 | VH2D-Wk22-04-05/DAQ-2-3/DAQ-2-3-VH2D-04-05_Rec_01.mf4 | VH2D-Wk22-04-05/H2BGA/H2BGA-M-U-L-M-VH2D-04-05-260529-150229.csv,Non Homogenous Flammable Mixture,"Added xxxx gr for a 12vol.%
1020 hPa
HR 41%
Non HOmogeneous
",No,,No,
