# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.209274483191    	T                 	2.8445166038e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027499779e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209300673234    	T                 	2.8443995319e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027578183e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.20932677928     	T                 	2.8442896861e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027649108e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209352801815    	T                 	2.8441877638e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027713340e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209378774465    	T                 	2.8440941299e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027772071e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209404713945    	T                 	2.8440089576e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027826716e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209430653425    	T                 	2.8439321296e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027876621e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209456626118    	T                 	2.8438633820e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027927527e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209482532427    	T                 	2.8438026141e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5027979956e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209508274147    	T                 	2.8437495286e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028034832e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209533756668    	T                 	2.8437037524e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028092721e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209558953582    	T                 	2.8436648896e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028154973e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209583901791    	T                 	2.8436326813e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028222940e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209608696943    	T                 	2.8436070599e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028298306e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.20963343136     	T                 	2.8435907217e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028383021e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209658211329    	T                 	2.8435854841e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028480739e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209683082962    	T                 	2.8435915755e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028590788e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209708062464    	T                 	2.8436075203e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028709884e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209733119639    	T                 	2.8436303744e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028834743e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209758223679    	T                 	2.8436562165e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5028966391e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209783312069    	T                 	2.8436808175e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5029108094e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209808353593    	T                 	2.8437003916e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5029255390e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209833348398    	T                 	2.8437121118e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5029412288e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
