# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	min(T)
1.19999040008e-06 	2.9314999947e+02
2.63996505619e-06 	2.9314999883e+02
4.36794459704e-06 	2.9314999806e+02
6.44150571252e-06 	2.9314999714e+02
8.92973776977e-06 	2.9314999604e+02
1.19155270705e-05 	2.9314999471e+02
1.54983886296e-05 	2.9314999311e+02
1.97977608653e-05 	2.9314999118e+02
2.49567412781e-05 	2.9314998885e+02
3.11471343486e-05 	2.9314998604e+02
3.8575237941e-05  	2.9314998263e+02
4.74889622518e-05 	2.9314997846e+02
5.81854314247e-05 	2.9314997336e+02
7.10206446266e-05 	2.9314996705e+02
8.64213168522e-05 	2.9314995919e+02
0.000104900983155 	2.9314994934e+02
0.000127076582718 	2.9314993692e+02
0.000153689668853 	2.9314991054e+02
0.000185621962467 	2.9314986331e+02
0.000223940714803 	2.9314980584e+02
0.000269901988382 	2.9314974976e+02
0.000325035134736 	2.9314971892e+02
0.000391180227766 	2.9314970271e+02
0.000470554339401 	2.9314967218e+02
0.000565803273364 	2.9314969640e+02
0.000679970009453 	2.9314977182e+02
0.00081697009276  	2.9314979093e+02
0.00098146183158  	2.9314980269e+02
0.00117911722742  	2.9314978382e+02
0.00141611180399  	2.9314974497e+02
0.00166654421737  	2.9314968607e+02
0.00191697663075  	2.9314964687e+02
0.00216740904413  	2.9314959958e+02
0.00241784145751  	2.9314953426e+02
0.00266827387089  	2.9314945681e+02
0.00291870628428  	2.9314937910e+02
0.00316913869766  	2.9314930873e+02
0.00341957111104  	2.9314924545e+02
0.00367000352442  	2.9314918604e+02
0.0039204359378   	2.9314912803e+02
0.00417086835118  	2.9314907273e+02
0.00442130076456  	2.9314902622e+02
0.00467173317795  	2.9314900125e+02
0.00492216559133  	2.9314902100e+02
0.00517259800471  	2.9314912341e+02
0.00542303041809  	2.9314936636e+02
0.00567346283147  	2.9314983174e+02
0.00592389524485  	2.9314994992e+02
0.00617432765824  	2.9313586290e+02
0.00642476007162  	2.9312491583e+02
0.006675192485    	2.9311278367e+02
0.00692562489838  	2.9310554322e+02
0.00717605731176  	2.9310092397e+02
0.00742648972514  	2.9309729074e+02
0.00767692213852  	2.9309550474e+02
0.00792735455191  	2.9309441400e+02
0.00817778696529  	2.9309461819e+02
0.00842821937867  	2.9309542976e+02
0.00867865179205  	2.9309920706e+02
0.00892908420543  	2.9310319276e+02
0.00917951661881  	2.9310948998e+02
0.0094299490322   	2.9311862749e+02
0.00968038144558  	2.9311125284e+02
0.00993081385896  	2.9309334208e+02
0.0101812462723   	2.9308516208e+02
0.0104316786857   	2.9308629642e+02
0.0106821110991   	2.9308910261e+02
0.0109325435125   	2.9308350225e+02
0.0111829759259   	2.9308273980e+02
0.0114334083392   	2.9308733597e+02
0.0116838407526   	2.9309704021e+02
0.011934273166    	2.9308868203e+02
0.0121847055794   	2.9305927050e+02
0.0124351379928   	2.9303990021e+02
0.0126855704062   	2.9304289331e+02
0.0129360028195   	2.9306311914e+02
0.0131864352329   	2.9309667047e+02
0.0134368676463   	2.9312922823e+02
0.0136873000597   	2.9312465828e+02
0.0139377324731   	2.9311232550e+02
0.0141881648864   	2.9308893211e+02
0.0144385972998   	2.9306915226e+02
0.0146890297132   	2.9305493918e+02
0.0149394621266   	2.9304591686e+02
0.01518989454     	2.9304113217e+02
0.0154403269534   	2.9303947002e+02
0.0156907593667   	2.9303973246e+02
0.0159411917801   	2.9304092561e+02
0.0161916241935   	2.9304236066e+02
0.0164420566069   	2.9304358039e+02
0.0166924890203   	2.9304423897e+02
0.0169429214336   	2.9304402433e+02
0.017193353847    	2.9304262371e+02
0.0174437862604   	2.9303983911e+02
0.0176942186738   	2.9303569608e+02
0.0179446510872   	2.9303032298e+02
0.0181950835005   	2.9302974164e+02
0.0184455159139   	2.9301345926e+02
0.0186959483273   	2.9300006995e+02
0.0189463807407   	2.9299326420e+02
0.0191968131541   	2.9303060985e+02
0.0194472455675   	2.9297412256e+02
0.0196976779808   	2.9298052606e+02
0.0199481103942   	2.9298828200e+02
0.0201985428076   	2.9297414475e+02
0.020448975221    	2.9297180203e+02
0.0206994076344   	2.9297662526e+02
0.0209498400477   	2.9297563886e+02
0.0212002724611   	2.9297194811e+02
0.0214507048745   	2.9297558461e+02
0.0217011372879   	2.9296186120e+02
0.0219515697013   	2.9295317239e+02
0.0222020021147   	2.9294697729e+02
0.022452434528    	2.9293029769e+02
0.0227028669414   	2.9290773748e+02
0.0229532993548   	2.9288883840e+02
0.0232037317682   	2.9287460830e+02
0.0234541641816   	2.9286190917e+02
0.0237045965949   	2.9285049520e+02
0.0239550290083   	2.9284311211e+02
0.0242054614217   	2.9284168432e+02
0.0244558938351   	2.9284531307e+02
0.0247063262485   	2.9285144179e+02
0.0249567586618   	2.9285738843e+02
0.0252071910752   	2.9286100907e+02
0.0254576234886   	2.9286084925e+02
0.025708055902    	2.9285623116e+02
0.0259584883154   	2.9284713170e+02
0.0262089207288   	2.9283638874e+02
0.0264593531421   	2.9282060089e+02
0.0267097855555   	2.9280389233e+02
0.0269602179689   	2.9278627755e+02
0.0272106503823   	2.9277073732e+02
0.0274610827957   	2.9276191536e+02
0.027711515209    	2.9275983609e+02
0.0279619476224   	2.9276464391e+02
0.0282123800358   	2.9275888202e+02
0.0284628124492   	2.9275769080e+02
0.0287132448626   	2.9276368304e+02
0.028963677276    	2.9277037701e+02
0.0292141096893   	2.9276162179e+02
0.0294645421027   	2.9275310896e+02
0.0297149745161   	2.9274639090e+02
0.0299654069295   	2.9274091406e+02
0.0302158393429   	2.9273629157e+02
0.0304662717562   	2.9273218016e+02
0.0307167041696   	2.9272806783e+02
0.030967136583    	2.9272341843e+02
0.0312175689964   	2.9271789228e+02
0.0314680014098   	2.9271125165e+02
0.0317184338231   	2.9270320664e+02
0.0319688662365   	2.9269350345e+02
0.0322192986499   	2.9268234176e+02
0.0324697310633   	2.9267037526e+02
0.0327201634767   	2.9265782642e+02
0.0329705958901   	2.9264421531e+02
0.0332210283034   	2.9262942168e+02
0.0334714607168   	2.9261446722e+02
0.0337218931302   	2.9260068925e+02
0.0339723255436   	2.9258852543e+02
0.034222757957    	2.9257770707e+02
0.0344731903703   	2.9256818247e+02
0.0347236227837   	2.9255968047e+02
0.0349740551971   	2.9255096407e+02
0.0352244876105   	2.9254099995e+02
0.0354749200239   	2.9253062786e+02
0.0357253524373   	2.9252176779e+02
0.0359757848506   	2.9251490313e+02
0.036226217264    	2.9250496963e+02
0.0364766496774   	2.9248082271e+02
0.0367270820908   	2.9245231069e+02
0.0369775145042   	2.9242542051e+02
0.0372279469175   	2.9240515563e+02
0.0374783793309   	2.9237613916e+02
0.0377288117443   	2.9235055799e+02
0.0379792441577   	2.9232612736e+02
0.0382296765711   	2.9230012202e+02
0.0384801089845   	2.9227547886e+02
0.0387305413978   	2.9225462216e+02
0.0389809738112   	2.9223456146e+02
0.0392314062246   	2.9220973388e+02
0.039481838638    	2.9218520031e+02
0.0397322710514   	2.9216518448e+02
0.0399827034647   	2.9214184311e+02
0.0402331358781   	2.9210295183e+02
0.0404835682915   	2.9206408337e+02
0.0407340007049   	2.9202528491e+02
0.0409844331183   	2.9198707865e+02
0.0412348655316   	2.9194954647e+02
0.041485297945    	2.9190988576e+02
0.0417357303584   	2.9186805223e+02
0.0419861627718   	2.9182493529e+02
0.0422365951852   	2.9178293361e+02
0.0424870275986   	2.9174138980e+02
0.0427374600119   	2.9169931897e+02
0.0429878924253   	2.9165674164e+02
