Simulation_Iteration,Time,deltaT,PIMPLE_Iterations
1,1.19999040008e-06,1.1999904e-06,
2,15.52,1.439974656e-06,33
3,28.3,1.727979541e-06,29
4,39.31,2.073561115e-06,27
5,50.19,2.488232057e-06,26
6,60.58,2.985789301e-06,26
7,70.5,3.582861559e-06,25
8,80.27,4.299372236e-06,25
9,89.58,5.158980413e-06,24
10,98.93,6.190393071e-06,24
11,108.29,7.428103592e-06,24
12,118.05,8.913724311e-06,24
13,127.58,1.069646917e-05,24
14,137.25,1.28352132e-05,24
15,147.34,1.540067223e-05,24
16,156.69,1.84796663e-05,24
17,166.05,2.217559956e-05,24
18,175.47,2.661308614e-05,24
19,184.72,3.193229361e-05,24
20,194.13,3.831875234e-05,24
21,203.37,4.596127358e-05,24
22,212.67,5.513314635e-05,24
23,222.14,6.614509303e-05,24
24,231.42,7.937411164e-05,24
25,241.32,9.524893396e-05,24
26,250.9,0.0001141667361,24
27,260.24,0.0001370000833,24
28,269.97,0.0001644917388,24
29,279.67,0.0001976553958,24
30,289.18,0.0002369945766,24
31,298.49,0.0002504324134,24
32,307.59,0.0002504324134,23
33,316.44,0.0002504324134,23
34,325.25,0.0002504324134,23
35,334.44,0.0002504324134,23
36,343.84,0.0002504324134,23
37,353.38,0.0002504324134,23
38,362.33,0.0002504324134,22
39,370.82,0.0002504324134,22
40,379.44,0.0002504324134,22
41,388.15,0.0002504324134,22
42,396.63,0.0002504324134,22
43,405.22,0.0002504324134,22
44,413.35,0.0002504324134,21
45,421.42,0.0002504324134,21
46,429.55,0.0002504324134,21
47,437.69,0.0002504324134,21
48,445.9,0.0002504324134,21
49,454.54,0.0002504324134,21
50,463.14,0.0002504324134,21
51,471.94,0.0002504324134,21
52,480.73,0.0002504324134,21
53,489.18,0.0002504324134,21
54,497.6,0.0002504324134,21
55,505.35,0.0002504324134,20
56,513.1,0.0002504324134,20
57,520.79,0.0002504324134,20
58,530.03,0.0002504324134,24
59,537.75,0.0002504324134,20
60,545.63,0.0002504324134,20
61,553.59,0.0002504324134,20
62,561.48,0.0002504324134,20
63,569.66,0.0002504324134,20
64,578.48,0.0002504324134,20
65,587.34,0.0002504324134,20
66,596.14,0.0002504324134,20
67,604.87,0.0002504324134,20
68,612.76,0.0002504324134,20
69,620.44,0.0002504324134,20
70,628.12,0.0002504324134,20
71,635.81,0.0002504324134,20
72,643.5,0.0002504324134,20
73,651.46,0.0002504324134,20
74,658.99,0.0002504324134,19
75,666.6,0.0002504324134,19
76,674.2,0.0002504324134,19
77,681.94,0.0002504324134,19
78,689.46,0.0002504324134,19
79,696.99,0.0002504324134,19
80,704.67,0.0002504324134,19
81,712.42,0.0002504324134,19
82,719.91,0.0002504324134,19
83,727.33,0.0002504324134,19
84,734.91,0.0002504324134,19
85,742.47,0.0002504324134,19
86,749.94,0.0002504324134,19
87,757.22,0.0002504324134,19
88,764.61,0.0002504324134,19
89,771.91,0.0002504324134,19
90,779.21,0.0002504324134,19
91,786.45,0.0002504324134,19
92,793.64,0.0002504324134,19
93,800.95,0.0002504324134,19
94,808.2,0.0002504324134,19
95,815.45,0.0002504324134,19
